resume_text,skills,education,certifications,experience_years,job_title_similarity,label
"Experienced in Marketing, Deep Learning, and Python. Holds a PhD degree. Certified in PMP. 4 years of experience.","Project Management, Deep Learning, Data Analysis",Master's,AWS Certified,20,0.72,1
"Experienced in Deep Learning, Deep Learning, and Cloud Computing. Holds a PhD degree. Certified in PMP. 14 years of experience.","Python, Cloud Computing, Deep Learning",High School,Google Data Analytics,1,0.53,0
"Experienced in SQL, Marketing, and Python. Holds a PhD degree. Certified in PMP. 2 years of experience.","Machine Learning, Project Management, Data Analysis, Cybersecurity",Master's,None,6,0.88,1
"Experienced in Cybersecurity, Java, and Deep Learning. Holds a PhD degree. Certified in Google Data Analytics. 14 years of experience.","Deep Learning, Marketing",PhD,Certified Ethical Hacker,7,0.89,1
"Experienced in Cybersecurity, Marketing, and Python. Holds a High School degree. Certified in Certified Ethical Hacker. 13 years of experience.","Data Analysis, Python, Java, Cybersecurity",PhD,Certified Ethical Hacker,6,0.39,0
"Experienced in Deep Learning, Deep Learning, and Machine Learning. Holds a High School degree. Certified in Google Data Analytics. 7 years of experience.","Marketing, Machine Learning, Project Management, Data Analysis",PhD,Google Data Analytics,19,0.69,1
"Experienced in Java, Cybersecurity, and Cloud Computing. Holds a High School degree. Certified in AWS Certified. 6 years of experience.","Deep Learning, Data Analysis",High School,Google Data Analytics,7,0.76,1
"Experienced in SQL, Cloud Computing, and Cloud Computing. Holds a PhD degree. Certified in None. 2 years of experience.","Cloud Computing, Project Management",Bachelor's,AWS Certified,13,0.58,1
"Experienced in Java, Cybersecurity, and Java. Holds a PhD degree. Certified in None. 13 years of experience.","Marketing, Cloud Computing",High School,Certified Ethical Hacker,0,0.74,0
"Experienced in Deep Learning, Data Analysis, and Project Management. Holds a Bachelor's degree. Certified in PMP. 13 years of experience.","Java, Cloud Computing, Cybersecurity, Deep Learning",PhD,PMP,0,0.65,0
"Experienced in Data Analysis, Cloud Computing, and Data Analysis. Holds a PhD degree. Certified in PMP. 7 years of experience.","Marketing, Project Management",Master's,AWS Certified,9,0.81,1
"Experienced in Cybersecurity, Project Management, and Data Analysis. Holds a PhD degree. Certified in PMP. 10 years of experience.","Data Analysis, SQL, Deep Learning, Java",Bachelor's,Certified Ethical Hacker,8,0.71,1
"Experienced in Cloud Computing, Machine Learning, and Deep Learning. Holds a Master's degree. Certified in None. 10 years of experience.","Data Analysis, Java",Bachelor's,AWS Certified,0,0.83,1
"Experienced in Project Management, Data Analysis, and SQL. Holds a Bachelor's degree. Certified in PMP. 2 years of experience.","Machine Learning, SQL",Master's,None,5,0.45,1
"Experienced in Project Management, Machine Learning, and SQL. Holds a PhD degree. Certified in None. 7 years of experience.","Deep Learning, Machine Learning, Project Management, Marketing",High School,PMP,15,0.32,0
"Experienced in Cloud Computing, Marketing, and SQL. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 7 years of experience.","Project Management, SQL",High School,None,18,0.64,0
"Experienced in Machine Learning, Marketing, and Cybersecurity. Holds a PhD degree. Certified in None. 7 years of experience.","Python, Machine Learning",PhD,AWS Certified,7,0.74,0
"Experienced in Deep Learning, Marketing, and Machine Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 8 years of experience.","Marketing, Machine Learning, Cybersecurity",Bachelor's,Google Data Analytics,13,0.71,1
"Experienced in Machine Learning, SQL, and Project Management. Holds a PhD degree. Certified in PMP. 3 years of experience.","Marketing, Cybersecurity",PhD,Certified Ethical Hacker,18,0.33,1
"Experienced in Machine Learning, Machine Learning, and Cloud Computing. Holds a Master's degree. Certified in None. 11 years of experience.","Java, Cybersecurity, Python, Cloud Computing",High School,AWS Certified,0,0.39,0
"Experienced in Java, Cybersecurity, and Cybersecurity. Holds a High School degree. Certified in AWS Certified. 12 years of experience.","Cybersecurity, Project Management, Deep Learning",Master's,None,13,0.23,1
"Experienced in Java, Project Management, and Project Management. Holds a Master's degree. Certified in None. 6 years of experience.","SQL, Deep Learning",High School,None,9,0.72,0
"Experienced in Java, Project Management, and Cloud Computing. Holds a PhD degree. Certified in Certified Ethical Hacker. 8 years of experience.","Cloud Computing, Project Management, SQL",High School,AWS Certified,12,0.37,0
"Experienced in Cybersecurity, Cloud Computing, and Data Analysis. Holds a Master's degree. Certified in PMP. 15 years of experience.","Cybersecurity, Cloud Computing, Project Management",Master's,PMP,14,0.25,0
"Experienced in Data Analysis, Cybersecurity, and Marketing. Holds a Bachelor's degree. Certified in PMP. 5 years of experience.","Cloud Computing, Marketing, Machine Learning, Project Management",High School,Google Data Analytics,1,0.47,1
"Experienced in Cloud Computing, Cloud Computing, and Project Management. Holds a Bachelor's degree. Certified in None. 10 years of experience.","Python, Cloud Computing, Marketing",PhD,Certified Ethical Hacker,5,0.66,0
"Experienced in Cybersecurity, Project Management, and Java. Holds a Master's degree. Certified in Google Data Analytics. 3 years of experience.","Cloud Computing, SQL, Project Management",High School,Google Data Analytics,1,0.44,0
"Experienced in Cloud Computing, Cloud Computing, and Marketing. Holds a Master's degree. Certified in Certified Ethical Hacker. 7 years of experience.","Data Analysis, Deep Learning",Bachelor's,Google Data Analytics,11,0.32,1
"Experienced in Machine Learning, Deep Learning, and Machine Learning. Holds a Bachelor's degree. Certified in PMP. 11 years of experience.","Project Management, Data Analysis, Cybersecurity, SQL",Master's,None,14,0.55,0
"Experienced in SQL, Python, and SQL. Holds a Bachelor's degree. Certified in None. 4 years of experience.","Data Analysis, Marketing, Cloud Computing, Project Management",Bachelor's,Certified Ethical Hacker,6,0.61,1
"Experienced in Cloud Computing, Java, and Deep Learning. Holds a PhD degree. Certified in PMP. 14 years of experience.","Deep Learning, Cloud Computing, Project Management",Bachelor's,Google Data Analytics,8,0.87,0
"Experienced in SQL, SQL, and Cloud Computing. Holds a PhD degree. Certified in PMP. 8 years of experience.","Cloud Computing, Python, Project Management, Cybersecurity",Master's,PMP,5,0.32,1
"Experienced in Project Management, Data Analysis, and Cybersecurity. Holds a High School degree. Certified in Certified Ethical Hacker. 8 years of experience.","Machine Learning, Marketing, Python, Cloud Computing",High School,AWS Certified,16,0.45,1
"Experienced in Project Management, Cloud Computing, and Machine Learning. Holds a High School degree. Certified in Google Data Analytics. 10 years of experience.","SQL, Data Analysis, Cybersecurity",PhD,PMP,3,0.34,1
"Experienced in Cloud Computing, Cloud Computing, and Marketing. Holds a Master's degree. Certified in Certified Ethical Hacker. 15 years of experience.","Project Management, Cloud Computing, Cybersecurity, Java",Master's,AWS Certified,0,0.37,0
"Experienced in Deep Learning, Python, and Marketing. Holds a Master's degree. Certified in AWS Certified. 4 years of experience.","Project Management, Marketing",PhD,Google Data Analytics,14,0.81,0
"Experienced in Python, Project Management, and Deep Learning. Holds a Bachelor's degree. Certified in PMP. 1 years of experience.","Java, Deep Learning",High School,Certified Ethical Hacker,13,0.42,1
"Experienced in SQL, SQL, and SQL. Holds a PhD degree. Certified in AWS Certified. 6 years of experience.","Java, Cloud Computing, Project Management",Master's,None,19,0.53,1
"Experienced in Data Analysis, Python, and Project Management. Holds a High School degree. Certified in None. 11 years of experience.","Data Analysis, Cloud Computing",Master's,PMP,20,0.62,0
"Experienced in Project Management, Machine Learning, and Data Analysis. Holds a Bachelor's degree. Certified in PMP. 13 years of experience.","Cybersecurity, Python, Project Management",Bachelor's,PMP,9,0.67,1
"Experienced in Cloud Computing, SQL, and Cybersecurity. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 4 years of experience.","Deep Learning, Python, Java",PhD,PMP,2,0.7,0
"Experienced in Deep Learning, Machine Learning, and Project Management. Holds a PhD degree. Certified in AWS Certified. 3 years of experience.","Project Management, Machine Learning, Java",Master's,Google Data Analytics,1,0.81,1
"Experienced in Project Management, Machine Learning, and Cybersecurity. Holds a PhD degree. Certified in Certified Ethical Hacker. 11 years of experience.","Cloud Computing, Machine Learning, SQL, Python",PhD,None,15,0.37,0
"Experienced in Machine Learning, SQL, and Data Analysis. Holds a Master's degree. Certified in Certified Ethical Hacker. 7 years of experience.","Data Analysis, Cloud Computing, Cybersecurity, SQL",Bachelor's,Certified Ethical Hacker,18,0.23,0
"Experienced in Cloud Computing, Cybersecurity, and Python. Holds a High School degree. Certified in PMP. 15 years of experience.","SQL, Deep Learning",Bachelor's,None,17,0.43,0
"Experienced in Cybersecurity, Cloud Computing, and Cloud Computing. Holds a High School degree. Certified in AWS Certified. 3 years of experience.","SQL, Java, Machine Learning, Project Management",High School,Certified Ethical Hacker,9,0.77,1
"Experienced in Project Management, Marketing, and Java. Holds a High School degree. Certified in Google Data Analytics. 15 years of experience.","Cloud Computing, Project Management",High School,AWS Certified,8,0.7,0
"Experienced in Project Management, Marketing, and Deep Learning. Holds a High School degree. Certified in None. 10 years of experience.","Marketing, Cybersecurity",Master's,AWS Certified,17,0.23,1
"Experienced in Python, SQL, and Cybersecurity. Holds a PhD degree. Certified in None. 1 years of experience.","Marketing, Cloud Computing",PhD,PMP,3,0.75,1
"Experienced in Cybersecurity, SQL, and Java. Holds a Master's degree. Certified in Google Data Analytics. 3 years of experience.","Project Management, Cloud Computing",PhD,Google Data Analytics,15,0.85,0
"Experienced in Cloud Computing, Cybersecurity, and Cloud Computing. Holds a High School degree. Certified in Certified Ethical Hacker. 14 years of experience.","SQL, Cybersecurity, Machine Learning",High School,None,17,0.53,1
"Experienced in SQL, Java, and Machine Learning. Holds a PhD degree. Certified in Certified Ethical Hacker. 13 years of experience.","Machine Learning, SQL, Marketing",PhD,Google Data Analytics,19,0.59,0
"Experienced in Python, Data Analysis, and Data Analysis. Holds a Bachelor's degree. Certified in None. 7 years of experience.","Deep Learning, Machine Learning",PhD,PMP,10,0.27,0
"Experienced in Python, Marketing, and Data Analysis. Holds a Master's degree. Certified in Certified Ethical Hacker. 6 years of experience.","Cloud Computing, Marketing",PhD,Google Data Analytics,5,0.35,0
"Experienced in Deep Learning, Marketing, and SQL. Holds a High School degree. Certified in None. 14 years of experience.","Python, Java, Machine Learning",High School,Certified Ethical Hacker,14,0.34,1
"Experienced in Java, Marketing, and Cloud Computing. Holds a High School degree. Certified in AWS Certified. 9 years of experience.","Marketing, Deep Learning",Master's,None,17,0.39,1
"Experienced in Cloud Computing, Deep Learning, and Project Management. Holds a Bachelor's degree. Certified in PMP. 14 years of experience.","Marketing, Cloud Computing",PhD,PMP,13,0.23,0
"Experienced in Machine Learning, Cybersecurity, and Java. Holds a Master's degree. Certified in None. 10 years of experience.","Marketing, Java",Master's,Certified Ethical Hacker,1,0.73,0
"Experienced in Data Analysis, Project Management, and Python. Holds a PhD degree. Certified in AWS Certified. 2 years of experience.","SQL, Java, Machine Learning, Python",Bachelor's,Google Data Analytics,19,0.38,1
"Experienced in Cybersecurity, Project Management, and Java. Holds a High School degree. Certified in None. 12 years of experience.","Data Analysis, SQL, Project Management, Java",Bachelor's,Google Data Analytics,11,0.45,1
"Experienced in Marketing, Marketing, and Marketing. Holds a High School degree. Certified in Certified Ethical Hacker. 9 years of experience.","Data Analysis, Deep Learning, Cybersecurity",Bachelor's,None,3,0.58,1
"Experienced in Cybersecurity, Deep Learning, and SQL. Holds a Master's degree. Certified in PMP. 3 years of experience.","Java, Cybersecurity",Bachelor's,None,11,0.47,0
"Experienced in Deep Learning, Machine Learning, and Project Management. Holds a High School degree. Certified in PMP. 7 years of experience.","SQL, Java, Python",High School,Certified Ethical Hacker,7,0.67,1
"Experienced in Project Management, Machine Learning, and Cybersecurity. Holds a Bachelor's degree. Certified in AWS Certified. 14 years of experience.","Machine Learning, Cloud Computing, SQL",Master's,AWS Certified,6,0.87,1
"Experienced in SQL, Java, and Python. Holds a Master's degree. Certified in None. 8 years of experience.","Cybersecurity, SQL, Marketing",PhD,Google Data Analytics,20,0.83,0
"Experienced in Project Management, Python, and Java. Holds a High School degree. Certified in Google Data Analytics. 4 years of experience.","Cloud Computing, Marketing, Python, SQL",PhD,Certified Ethical Hacker,13,0.75,1
"Experienced in Machine Learning, Java, and Cloud Computing. Holds a Bachelor's degree. Certified in Google Data Analytics. 2 years of experience.","Deep Learning, Project Management, Python",PhD,Google Data Analytics,0,0.76,0
"Experienced in Marketing, Project Management, and Project Management. Holds a PhD degree. Certified in None. 7 years of experience.","Data Analysis, Deep Learning, Cybersecurity, Machine Learning",PhD,None,20,0.46,1
"Experienced in Marketing, Deep Learning, and Machine Learning. Holds a PhD degree. Certified in AWS Certified. 14 years of experience.","Project Management, Data Analysis",High School,PMP,16,0.54,0
"Experienced in SQL, Project Management, and Cloud Computing. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 1 years of experience.","Deep Learning, Project Management, Java",Bachelor's,AWS Certified,1,0.29,1
"Experienced in Deep Learning, SQL, and Cloud Computing. Holds a PhD degree. Certified in Certified Ethical Hacker. 9 years of experience.","Cybersecurity, Project Management",PhD,None,5,0.78,1
"Experienced in Project Management, Cybersecurity, and Cybersecurity. Holds a Bachelor's degree. Certified in Google Data Analytics. 3 years of experience.","Machine Learning, Cybersecurity",PhD,Certified Ethical Hacker,3,0.71,0
"Experienced in Machine Learning, Machine Learning, and Cloud Computing. Holds a High School degree. Certified in None. 1 years of experience.","Deep Learning, Project Management",Master's,Certified Ethical Hacker,0,0.32,0
"Experienced in Project Management, Machine Learning, and Deep Learning. Holds a PhD degree. Certified in None. 7 years of experience.","Data Analysis, Marketing, Cloud Computing",PhD,Certified Ethical Hacker,18,0.3,1
"Experienced in SQL, Cloud Computing, and Marketing. Holds a Master's degree. Certified in Google Data Analytics. 13 years of experience.","SQL, Project Management, Marketing, Machine Learning",High School,Google Data Analytics,12,0.33,0
"Experienced in Java, Cloud Computing, and Data Analysis. Holds a PhD degree. Certified in PMP. 6 years of experience.","Cloud Computing, SQL",High School,Google Data Analytics,0,0.41,0
"Experienced in Data Analysis, SQL, and Project Management. Holds a High School degree. Certified in None. 1 years of experience.","Cybersecurity, Data Analysis, Marketing, Cloud Computing",Master's,Certified Ethical Hacker,5,0.45,0
"Experienced in Java, Project Management, and Python. Holds a Master's degree. Certified in Certified Ethical Hacker. 2 years of experience.","Project Management, Cybersecurity, Machine Learning, SQL",High School,PMP,10,0.22,0
"Experienced in SQL, Deep Learning, and Data Analysis. Holds a High School degree. Certified in Google Data Analytics. 15 years of experience.","Cybersecurity, Marketing, Machine Learning, Java",Bachelor's,None,8,0.28,0
"Experienced in Deep Learning, Marketing, and Python. Holds a Master's degree. Certified in PMP. 4 years of experience.","Data Analysis, Python, Java",Bachelor's,PMP,18,0.32,1
"Experienced in Java, Java, and Cloud Computing. Holds a PhD degree. Certified in AWS Certified. 6 years of experience.","Cloud Computing, Java, Marketing",Bachelor's,Google Data Analytics,16,0.76,1
"Experienced in SQL, Machine Learning, and Deep Learning. Holds a Master's degree. Certified in AWS Certified. 15 years of experience.","Python, Deep Learning",Bachelor's,Google Data Analytics,12,0.29,1
"Experienced in SQL, Project Management, and Java. Holds a Bachelor's degree. Certified in AWS Certified. 10 years of experience.","Cloud Computing, Java",Master's,Google Data Analytics,16,0.34,1
"Experienced in SQL, Python, and Project Management. Holds a High School degree. Certified in Google Data Analytics. 3 years of experience.","Marketing, Cybersecurity, Project Management",PhD,Certified Ethical Hacker,2,0.43,1
"Experienced in Java, Machine Learning, and Machine Learning. Holds a PhD degree. Certified in Certified Ethical Hacker. 2 years of experience.","Machine Learning, Marketing, SQL, Data Analysis",Bachelor's,Certified Ethical Hacker,2,0.9,1
"Experienced in Cloud Computing, Cloud Computing, and SQL. Holds a Bachelor's degree. Certified in PMP. 10 years of experience.","Cybersecurity, Deep Learning",Bachelor's,Google Data Analytics,11,0.46,1
"Experienced in Marketing, Project Management, and Python. Holds a High School degree. Certified in PMP. 12 years of experience.","Project Management, Machine Learning, Python, Cybersecurity",Bachelor's,Google Data Analytics,7,0.65,0
"Experienced in Machine Learning, Machine Learning, and Python. Holds a Master's degree. Certified in Google Data Analytics. 5 years of experience.","Project Management, Deep Learning, Data Analysis",Master's,AWS Certified,3,0.71,1
"Experienced in SQL, Python, and Project Management. Holds a High School degree. Certified in PMP. 5 years of experience.","Deep Learning, Cloud Computing, Cybersecurity",PhD,Certified Ethical Hacker,17,0.55,0
"Experienced in Python, Cybersecurity, and Deep Learning. Holds a High School degree. Certified in AWS Certified. 4 years of experience.","Machine Learning, Cybersecurity",High School,Certified Ethical Hacker,18,0.64,1
"Experienced in Cybersecurity, Java, and Machine Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 5 years of experience.","Deep Learning, Project Management, Cybersecurity, Python",Bachelor's,Google Data Analytics,17,0.65,1
"Experienced in SQL, Machine Learning, and Machine Learning. Holds a Bachelor's degree. Certified in None. 7 years of experience.","Deep Learning, Java, SQL, Cloud Computing",High School,PMP,17,0.29,0
"Experienced in Deep Learning, Data Analysis, and SQL. Holds a High School degree. Certified in Certified Ethical Hacker. 5 years of experience.","Python, Deep Learning",High School,PMP,15,0.56,0
"Experienced in Cloud Computing, Data Analysis, and Cybersecurity. Holds a High School degree. Certified in None. 2 years of experience.","Java, Cloud Computing",Bachelor's,Google Data Analytics,5,0.38,1
"Experienced in SQL, Deep Learning, and Python. Holds a Master's degree. Certified in Google Data Analytics. 1 years of experience.","Project Management, Cybersecurity",Bachelor's,Certified Ethical Hacker,10,0.79,1
"Experienced in Data Analysis, Deep Learning, and Python. Holds a Master's degree. Certified in Certified Ethical Hacker. 7 years of experience.","SQL, Data Analysis",Bachelor's,Certified Ethical Hacker,0,0.65,0
"Experienced in Project Management, Deep Learning, and Machine Learning. Holds a Bachelor's degree. Certified in PMP. 1 years of experience.","Machine Learning, Cloud Computing",PhD,PMP,15,0.78,0
"Experienced in SQL, Cloud Computing, and SQL. Holds a PhD degree. Certified in None. 6 years of experience.","Cloud Computing, Cybersecurity, Python",PhD,Google Data Analytics,7,0.47,1
"Experienced in Deep Learning, Python, and Deep Learning. Holds a PhD degree. Certified in Google Data Analytics. 12 years of experience.","Project Management, SQL, Python",PhD,Google Data Analytics,6,0.23,0
"Experienced in SQL, Python, and Deep Learning. Holds a High School degree. Certified in None. 6 years of experience.","Java, Deep Learning, Marketing",PhD,AWS Certified,18,0.57,1
"Experienced in Data Analysis, Cybersecurity, and Java. Holds a High School degree. Certified in Google Data Analytics. 13 years of experience.","Python, Machine Learning",PhD,None,11,0.9,0
"Experienced in Deep Learning, Cloud Computing, and Deep Learning. Holds a Master's degree. Certified in PMP. 15 years of experience.","Marketing, Java",Bachelor's,None,11,0.79,0
"Experienced in Machine Learning, SQL, and Python. Holds a High School degree. Certified in PMP. 2 years of experience.","Cloud Computing, Machine Learning",PhD,None,3,0.56,1
"Experienced in Cybersecurity, Marketing, and Python. Holds a Master's degree. Certified in PMP. 11 years of experience.","Marketing, Deep Learning, Python",High School,None,5,0.31,0
"Experienced in Deep Learning, Cybersecurity, and Cybersecurity. Holds a High School degree. Certified in Google Data Analytics. 8 years of experience.","Python, Java",Bachelor's,Certified Ethical Hacker,11,0.62,0
"Experienced in Marketing, Java, and Marketing. Holds a PhD degree. Certified in AWS Certified. 12 years of experience.","SQL, Cloud Computing, Data Analysis, Cybersecurity",High School,None,16,0.89,0
"Experienced in Deep Learning, Marketing, and Data Analysis. Holds a PhD degree. Certified in None. 4 years of experience.","Marketing, Python",High School,None,17,0.46,1
"Experienced in Deep Learning, Machine Learning, and Project Management. Holds a PhD degree. Certified in None. 11 years of experience.","Java, Cloud Computing, Data Analysis, Cybersecurity",Master's,Certified Ethical Hacker,9,0.83,1
"Experienced in Data Analysis, Data Analysis, and Cybersecurity. Holds a Master's degree. Certified in Certified Ethical Hacker. 11 years of experience.","Python, Deep Learning, Project Management",High School,Google Data Analytics,19,0.31,1
"Experienced in Data Analysis, Deep Learning, and Python. Holds a Master's degree. Certified in None. 2 years of experience.","Java, Python, SQL, Deep Learning",PhD,None,13,0.79,1
"Experienced in Machine Learning, Cloud Computing, and Cloud Computing. Holds a Master's degree. Certified in None. 12 years of experience.","Deep Learning, Java, Data Analysis",PhD,AWS Certified,9,0.34,1
"Experienced in Python, Python, and Java. Holds a Master's degree. Certified in AWS Certified. 14 years of experience.","Data Analysis, SQL, Cybersecurity",PhD,Certified Ethical Hacker,10,0.24,1
"Experienced in Deep Learning, SQL, and Machine Learning. Holds a High School degree. Certified in PMP. 2 years of experience.","Deep Learning, Java",Master's,Certified Ethical Hacker,4,0.68,1
"Experienced in SQL, SQL, and Cloud Computing. Holds a Master's degree. Certified in Certified Ethical Hacker. 15 years of experience.","SQL, Machine Learning",Master's,AWS Certified,2,0.26,1
"Experienced in Deep Learning, Machine Learning, and Cloud Computing. Holds a Master's degree. Certified in Certified Ethical Hacker. 10 years of experience.","SQL, Cloud Computing",PhD,None,17,0.81,1
"Experienced in Marketing, Java, and Data Analysis. Holds a PhD degree. Certified in None. 10 years of experience.","Marketing, Machine Learning",Bachelor's,Certified Ethical Hacker,0,0.85,1
"Experienced in Python, Machine Learning, and Cybersecurity. Holds a Bachelor's degree. Certified in None. 14 years of experience.","Machine Learning, Cybersecurity, Cloud Computing, Deep Learning",Bachelor's,AWS Certified,14,0.66,0
"Experienced in Cloud Computing, Deep Learning, and SQL. Holds a High School degree. Certified in None. 10 years of experience.","Deep Learning, SQL",High School,None,15,0.49,1
"Experienced in Marketing, Java, and Data Analysis. Holds a Master's degree. Certified in None. 6 years of experience.","Python, SQL, Machine Learning, Cybersecurity",Master's,PMP,16,0.63,0
"Experienced in Deep Learning, SQL, and Project Management. Holds a Master's degree. Certified in Google Data Analytics. 10 years of experience.","Project Management, Python",High School,None,4,0.81,1
"Experienced in Data Analysis, Cloud Computing, and Deep Learning. Holds a Bachelor's degree. Certified in PMP. 1 years of experience.","Project Management, Data Analysis",PhD,Google Data Analytics,4,0.7,1
"Experienced in Python, Project Management, and Java. Holds a Bachelor's degree. Certified in AWS Certified. 6 years of experience.","Data Analysis, Cybersecurity, Deep Learning, Python",PhD,PMP,3,0.82,1
"Experienced in Project Management, Cybersecurity, and Machine Learning. Holds a Bachelor's degree. Certified in AWS Certified. 10 years of experience.","Deep Learning, Python, Marketing, Cloud Computing",Master's,AWS Certified,14,0.66,1
"Experienced in SQL, SQL, and Project Management. Holds a Bachelor's degree. Certified in None. 3 years of experience.","Cybersecurity, Machine Learning, Java, SQL",Bachelor's,PMP,2,0.25,0
"Experienced in Cybersecurity, Machine Learning, and SQL. Holds a PhD degree. Certified in Google Data Analytics. 1 years of experience.","Data Analysis, Project Management",Bachelor's,PMP,15,0.5,1
"Experienced in Data Analysis, Deep Learning, and Python. Holds a Bachelor's degree. Certified in Google Data Analytics. 11 years of experience.","Project Management, Marketing, Cloud Computing",Master's,PMP,19,0.56,0
"Experienced in Project Management, Java, and Cloud Computing. Holds a Master's degree. Certified in Google Data Analytics. 11 years of experience.","Cybersecurity, Project Management, Machine Learning, Marketing",PhD,Certified Ethical Hacker,17,0.29,0
"Experienced in Data Analysis, Python, and Cloud Computing. Holds a Master's degree. Certified in Google Data Analytics. 8 years of experience.","Cloud Computing, Machine Learning",Bachelor's,AWS Certified,10,0.68,0
"Experienced in SQL, Machine Learning, and Marketing. Holds a High School degree. Certified in None. 10 years of experience.","Deep Learning, Project Management, Python, Java",High School,None,16,0.56,0
"Experienced in Python, SQL, and Project Management. Holds a High School degree. Certified in Google Data Analytics. 15 years of experience.","Cybersecurity, Deep Learning",High School,Certified Ethical Hacker,0,0.7,0
"Experienced in Deep Learning, Cloud Computing, and Cloud Computing. Holds a Master's degree. Certified in Google Data Analytics. 6 years of experience.","Java, Python",Master's,AWS Certified,0,0.67,1
"Experienced in Python, Cybersecurity, and Project Management. Holds a Bachelor's degree. Certified in PMP. 11 years of experience.","Data Analysis, SQL, Machine Learning, Cloud Computing",PhD,Certified Ethical Hacker,3,0.56,0
"Experienced in Project Management, Cloud Computing, and Project Management. Holds a Master's degree. Certified in Google Data Analytics. 2 years of experience.","Python, Marketing, SQL, Java",Bachelor's,None,7,0.68,0
"Experienced in Cybersecurity, Java, and Machine Learning. Holds a High School degree. Certified in None. 2 years of experience.","Project Management, Data Analysis, Deep Learning",High School,AWS Certified,20,0.31,0
"Experienced in Marketing, Marketing, and Cybersecurity. Holds a Bachelor's degree. Certified in None. 15 years of experience.","Machine Learning, Marketing, Data Analysis",Master's,None,3,0.21,0
"Experienced in Machine Learning, Python, and Marketing. Holds a High School degree. Certified in Certified Ethical Hacker. 5 years of experience.","Machine Learning, Python, Deep Learning",PhD,AWS Certified,14,0.87,1
"Experienced in Data Analysis, Java, and Marketing. Holds a Bachelor's degree. Certified in AWS Certified. 2 years of experience.","Cloud Computing, Java, Project Management",Bachelor's,Certified Ethical Hacker,8,0.47,0
"Experienced in Python, Machine Learning, and Java. Holds a Bachelor's degree. Certified in None. 11 years of experience.","SQL, Cybersecurity, Marketing",High School,PMP,4,0.43,1
"Experienced in SQL, Java, and Python. Holds a Bachelor's degree. Certified in None. 11 years of experience.","SQL, Marketing",Bachelor's,AWS Certified,16,0.41,0
"Experienced in Project Management, Cybersecurity, and Cloud Computing. Holds a PhD degree. Certified in AWS Certified. 2 years of experience.","Machine Learning, Cloud Computing",Master's,Google Data Analytics,11,0.69,1
"Experienced in Machine Learning, Cybersecurity, and Python. Holds a Master's degree. Certified in AWS Certified. 3 years of experience.","Deep Learning, Data Analysis, Machine Learning, SQL",Bachelor's,AWS Certified,7,0.56,0
"Experienced in Cloud Computing, Cybersecurity, and Machine Learning. Holds a PhD degree. Certified in PMP. 9 years of experience.","Machine Learning, SQL",Bachelor's,Certified Ethical Hacker,3,0.38,1
"Experienced in Data Analysis, Deep Learning, and Cybersecurity. Holds a PhD degree. Certified in Google Data Analytics. 6 years of experience.","Marketing, Data Analysis, Deep Learning, Java",Bachelor's,AWS Certified,10,0.35,1
"Experienced in Cloud Computing, Data Analysis, and Cloud Computing. Holds a High School degree. Certified in Google Data Analytics. 2 years of experience.","Data Analysis, Cybersecurity, Machine Learning, SQL",Master's,AWS Certified,0,0.33,0
"Experienced in SQL, Data Analysis, and Python. Holds a High School degree. Certified in Certified Ethical Hacker. 8 years of experience.","Cybersecurity, Deep Learning, Python",Bachelor's,Certified Ethical Hacker,9,0.35,0
"Experienced in Marketing, Cybersecurity, and Project Management. Holds a PhD degree. Certified in PMP. 8 years of experience.","Cybersecurity, Marketing, Cloud Computing",PhD,None,18,0.58,1
"Experienced in Cloud Computing, Cybersecurity, and Deep Learning. Holds a Master's degree. Certified in Google Data Analytics. 15 years of experience.","SQL, Machine Learning, Java, Data Analysis",Master's,Google Data Analytics,1,0.47,0
"Experienced in Cybersecurity, Deep Learning, and Java. Holds a High School degree. Certified in None. 7 years of experience.","Java, Marketing",Master's,None,9,0.51,1
"Experienced in Machine Learning, Cloud Computing, and Deep Learning. Holds a PhD degree. Certified in AWS Certified. 4 years of experience.","Cybersecurity, Marketing",PhD,None,6,0.68,0
"Experienced in Marketing, Cybersecurity, and Cybersecurity. Holds a Master's degree. Certified in PMP. 8 years of experience.","Deep Learning, Java, Project Management",Bachelor's,AWS Certified,20,0.7,0
"Experienced in SQL, Data Analysis, and Cybersecurity. Holds a Bachelor's degree. Certified in None. 10 years of experience.","Data Analysis, Cloud Computing, Marketing, Python",High School,PMP,2,0.52,0
"Experienced in Marketing, Machine Learning, and Data Analysis. Holds a Master's degree. Certified in Certified Ethical Hacker. 4 years of experience.","Python, Data Analysis",PhD,Certified Ethical Hacker,1,0.72,0
"Experienced in Python, Java, and Cybersecurity. Holds a Master's degree. Certified in None. 7 years of experience.","Machine Learning, Python, Data Analysis, Java",Master's,Google Data Analytics,1,0.34,0
"Experienced in Data Analysis, Marketing, and Deep Learning. Holds a Master's degree. Certified in PMP. 13 years of experience.","Cybersecurity, Data Analysis, SQL",PhD,PMP,10,0.31,0
